,housing_units,latt,long,median_house_value,population
36521,2171.0,31.0,-88.2,113900.0,5431.0
36522,2964.0,31.0,-88.3,100500.0,7183.0
36523,1368.0,30.38,-88.17,122200.0,2818.0
36524,878.0,31.8,-88.0,78700.0,1232.0
36525,778.0,30.9,-88.0,135500.0,1935.0
36526,12523.0,30.6,-87.86,181200.0,27890.0
36527,5245.0,30.7,-87.9,247100.0,12109.0
36528,1817.0,30.2,-88.2,234000.0,1237.0
36529,200.0,31.2,-88.3,69500.0,478.0
36530,3704.0,30.4,-87.5,162800.0,6873.0
36532,13547.0,30.5,-87.9,222800.0,27829.0
36535,13100.0,30.4,-87.7,154500.0,26767.0
36538,323.0,31.64,-88.15,60900.0,374.0
36539,350.0,31.4,-88.3,54000.0,802.0
36540,303.0,31.48,-87.66,84200.0,691.0
36541,6072.0,30.5,-88.3,105400.0,15647.0
36542,15939.0,30.3,-87.8,197100.0,12705.0
36543,27.0,31.2,-87.5,,66.0
36544,4590.0,30.48,-88.24,92900.0,12476.0
36545,4767.0,31.5,-87.9,84400.0,9941.0
36548,517.0,31.49,-87.97,105900.0,1136.0
36549,2782.0,30.41,-87.45,134900.0,4271.0
36550,125.0,31.26,-87.75,31900.0,217.0
36551,3246.0,30.6,-87.8,156300.0,8258.0
36553,1596.0,31.3,-88.1,103800.0,3575.0
36555,358.0,30.4,-87.77,225000.0,654.0
36556,314.0,31.195,-88.011,55500.0,308.0
36558,1921.0,31.6,-88.3,79300.0,3854.0
36559,124.0,30.572,-87.897,899200.0,233.0
36560,1571.0,31.1,-88.0,78000.0,3690.0
36561,12492.0,30.28,-87.56,278300.0,5808.0
36562,638.0,31.04,-87.66,87000.0,1596.0
36564,125.0,30.473,-87.91,,107.0
36567,5177.0,30.6,-87.6,133500.0,12672.0
36568,63.0,30.503,-88.255,,162.0
36569,389.0,31.53,-88.05,116000.0,928.0
36571,6230.0,30.8,-88.1,133000.0,14423.0
36572,2497.0,30.85,-88.06,152900.0,6340.0
36574,665.0,30.52,-87.48,104500.0,1341.0
36575,7040.0,30.79,-88.28,142400.0,18345.0
36576,1767.0,30.53,-87.76,148300.0,4143.0
36578,723.0,30.73,-87.76,135200.0,1749.0
36579,1029.0,31.1,-87.8,104200.0,1590.0
36580,2422.0,30.5,-87.7,111800.0,5420.0
36581,118.0,31.378,-88.001,38700.0,224.0
36582,10176.0,30.5,-88.2,122600.0,24624.0
36583,311.0,31.4,-88.22,83200.0,639.0
36584,380.0,31.25,-88.38,56000.0,772.0
36585,429.0,31.4,-88.1,119600.0,972.0
36587,4522.0,30.8,-88.3,87900.0,12053.0
36590,15.0,30.554,-88.179,,20.0
36602,697.0,30.71,-88.03,314700.0,1057.0
36603,3628.0,30.68,-88.05,77500.0,7922.0
36604,5159.0,30.68,-88.07,165600.0,10456.0
36605,12914.0,30.6,-88.09,80200.0,30111.0
36606,8918.0,30.67,-88.1,103600.0,18733.0
36607,3557.0,30.7,-88.1,87300.0,6852.0
36608,16334.0,30.7,-88.3,158900.0,36864.0
36609,12815.0,30.66,-88.16,141100.0,25846.0
36610,6322.0,30.73,-88.08,54600.0,13209.0
36611,2879.0,30.77,-88.07,84700.0,6106.0
36612,1973.0,30.75,-88.11,68300.0,4541.0
36613,4944.0,30.81,-88.18,87700.0,12749.0
36615,171.0,30.64,-88.07,,391.0
36616,14.0,30.686,-88.053,,27.0
36617,6129.0,30.72,-88.09,73900.0,13967.0
36618,6652.0,30.74,-88.17,113300.0,16737.0
36619,5827.0,30.59,-88.19,127900.0,14269.0
36688,0.0,30.6933,-88.1741,,659.0
36693,7772.0,30.63,-88.15,149900.0,17847.0
36695,18360.0,30.63,-88.29,178000.0,45118.0
36701,11165.0,32.5,-87.0,85300.0,24268.0
36703,5955.0,32.5,-86.9,66100.0,13643.0
36720,337.0,32.2,-87.4,52800.0,784.0
36722,221.0,32.07,-87.57,46800.0,472.0
36723,116.0,32.1,-87.3,17100.0,230.0
36726,2431.0,32.0,-87.3,80900.0,4814.0
36727,59.0,31.93,-88.05,20300.0,61.0
36728,235.0,32.2,-87.5,58000.0,461.0
36732,3910.0,32.4,-87.9,144500.0,8395.0
36736,524.0,32.09,-87.77,54800.0,1207.0
36738,428.0,32.4,-87.6,63200.0,952.0
36740,857.0,32.6,-87.9,57300.0,1328.0
36742,1185.0,32.5,-87.7,71400.0,2554.0
36744,3506.0,32.7,-87.6,75400.0,7419.0
36748,1647.0,32.3,-87.7,80600.0,3260.0
36749,508.0,32.54,-86.85,52600.0,1089.0
36750,1306.0,32.8,-86.8,75300.0,2901.0
36751,410.0,31.89,-87.58,44600.0,945.0
36752,922.0,32.3,-86.6,101800.0,1644.0
36753,45.0,31.9,-87.0,,85.0
36754,210.0,32.12,-87.71,50300.0,344.0
36756,2671.0,32.7,-87.3,71800.0,6165.0
36758,683.0,32.6,-86.9,79300.0,1412.0
36759,798.0,32.4,-87.3,42400.0,1501.0
36761,632.0,32.1,-87.0,54800.0,1161.0
36763,84.0,32.3,-87.8,77500.0,139.0
36765,565.0,32.58,-87.57,35200.0,1294.0
36766,25.0,31.9,-87.0,,25.0
36767,1001.0,32.2,-87.2,56700.0,2012.0
36768,648.0,31.9,-87.0,42100.0,1096.0
36769,1300.0,32.0,-87.5,69300.0,3014.0
36773,263.0,32.3,-87.4,74400.0,512.0
36775,433.0,32.2,-87.0,38000.0,800.0
36776,732.0,32.7,-87.8,56800.0,1489.0
36782,1251.0,32.1,-87.9,73000.0,2405.0
36783,549.0,32.2,-87.6,93600.0,945.0
36784,3640.0,31.9,-87.8,91700.0,7754.0
36785,561.0,32.3,-86.8,69400.0,1165.0
36786,1520.0,32.5,-87.5,50200.0,3365.0
36790,68.0,32.74,-86.94,87400.0,139.0
36792,520.0,32.9,-86.9,80400.0,1169.0
36793,323.0,32.8,-87.0,157100.0,568.0
36801,9989.0,32.7,-85.4,143700.0,22214.0
36804,6968.0,32.5,-85.3,104400.0,16861.0
36830,15869.0,32.5,-85.5,231800.0,33201.0
36832,11729.0,32.59,-85.55,110100.0,22071.0
36849,1.0,32.6,-85.49,,3150.0
36850,1410.0,32.8,-85.7,44800.0,2630.0
36852,913.0,32.76,-85.26,88900.0,2129.0
36853,5982.0,32.8,-85.8,123300.0,8269.0
36854,7468.0,32.7,-85.2,85200.0,14576.0
36855,844.0,33.0,-85.3,81500.0,1551.0
36856,1511.0,32.3,-85.0,211200.0,3719.0
36858,255.0,32.3,-85.3,73300.0,441.0
36859,15.0,32.2,-85.1,,34.0
36860,897.0,32.3,-85.4,47800.0,1580.0
36861,2032.0,32.88,-85.83,86300.0,3264.0
36862,3061.0,32.9,-85.4,82600.0,6623.0
36863,5793.0,32.9,-85.3,80600.0,11672.0
36865,21.0,32.6,-85.6,,23.0
36866,1858.0,32.5,-85.7,71100.0,3955.0
36867,10481.0,32.5,-85.03,121300.0,22210.0
36869,8372.0,32.4,-85.1,100000.0,18751.0
36870,7561.0,32.49,-85.12,129400.0,18783.0
36871,719.0,32.2,-85.1,76700.0,1277.0
36874,3501.0,32.6,-85.2,119400.0,7901.0
36875,2069.0,32.3,-85.2,102900.0,4622.0
36877,4752.0,32.58,-85.09,124700.0,11414.0
36879,954.0,32.7,-85.5,121500.0,2114.0
36901,174.0,32.45,-88.13,32100.0,329.0
36904,2064.0,32.1,-88.3,68300.0,4098.0
36907,996.0,32.4,-88.3,82100.0,1930.0
36908,1188.0,31.9,-88.3,64400.0,2417.0
36910,18.0,32.25,-88.17,,35.0
36912,1133.0,32.2,-88.3,56900.0,2017.0
36913,29.0,31.95,-88.43,43700.0,53.0
36915,326.0,31.96,-88.35,44400.0,627.0
36916,455.0,32.19,-88.08,47500.0,709.0
36919,1098.0,31.8,-88.3,37500.0,2143.0
36921,558.0,32.0,-88.2,50400.0,1035.0
36922,400.0,32.3,-88.1,68100.0,656.0
36925,1581.0,32.4,-88.2,68800.0,3115.0
37010,1714.0,36.6,-87.1,242400.0,4679.0
37012,1032.0,36.07,-86.01,98600.0,2292.0
37013,32773.0,36.05,-86.64,147200.0,78406.0
37014,735.0,35.87,-86.65,352400.0,1855.0
37015,7133.0,36.3,-87.1,135300.0,17184.0
37016,372.0,35.95,-86.1,128300.0,793.0
37018,1332.0,35.65,-86.18,102100.0,2259.0
37019,316.0,35.4,-86.72,116000.0,694.0
37020,1981.0,35.6,-86.4,134300.0,5036.0
37022,2288.0,36.5,-86.3,126500.0,5469.0
37023,716.0,36.6,-87.7,138400.0,1811.0
37025,2609.0,35.9,-87.3,106900.0,6226.0
37026,915.0,35.7,-86.11,110000.0,2201.0
37027,18277.0,36.0,-86.8,443300.0,49035.0
37028,419.0,36.63,-87.84,83900.0,676.0
37029,2263.0,36.04,-87.27,206900.0,5628.0
37030,3177.0,36.3,-86.0,115500.0,6982.0
37031,1531.0,36.37,-86.29,145200.0,3712.0
37032,1728.0,36.5,-87.0,169400.0,4493.0
37033,3591.0,35.7,-87.6,116700.0,7805.0
37034,2615.0,35.6,-86.7,133300.0,6591.0
37035,1416.0,36.39,-87.13,132900.0,3766.0
37036,2437.0,36.3,-87.3,123300.0,5862.0
37037,2366.0,35.7,-86.4,140400.0,6312.0
37040,18449.0,36.5,-87.4,140700.0,44924.0
